Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,100.349998,100.510002,99.139999,99.550003,98.228981,429300
2019-01-02,98.570000,99.559998,98.339996,99.180000,97.863884,506300
2019-01-03,96.730003,96.830002,95.449997,95.459999,94.193245,807800
2019-01-04,97.339996,99.199997,96.910004,98.739998,97.429726,1038100
2019-01-07,99.440002,100.190002,98.760002,99.709999,98.386848,861600
2019-01-08,101.370003,101.480003,100.430000,101.269997,99.926147,548600
2019-01-09,102.779999,103.169998,102.290001,102.650002,101.287842,516400
2019-01-10,102.550003,103.410004,102.080002,103.339996,101.968681,663800
2019-01-11,102.199997,102.440002,101.580002,101.980003,100.626732,576900
2019-01-14,100.650002,101.529999,100.650002,101.110001,99.768272,629000
2019-01-15,100.849998,102.500000,100.849998,102.430000,101.070755,443100
2019-01-16,101.730003,102.589996,101.709999,102.250000,100.893143,442500
2019-01-17,102.370003,103.930000,102.300003,103.629997,102.254829,338000
2019-01-18,105.239998,106.129997,104.620003,105.739998,104.336830,484400
2019-01-22,103.510002,103.830002,102.889999,103.330002,101.958817,680400
2019-01-23,104.769997,104.989998,103.660004,104.099998,102.718597,539100
2019-01-24,105.559998,105.610001,104.720001,105.400002,104.001350,1999100
2019-01-25,106.500000,106.540001,105.589996,106.010002,104.603256,1036500
2019-01-28,105.900002,108.309998,105.400002,106.940002,105.520912,2299600
2019-01-29,103.370003,103.889999,102.150002,102.690002,101.327309,2048500
2019-01-30,101.959999,103.150002,100.970001,102.519997,101.159561,1275500
2019-01-31,102.470001,103.750000,102.309998,103.419998,102.047615,1027200
2019-02-01,103.820000,104.559998,103.480003,103.949997,102.570587,566200
2019-02-04,103.190002,104.290001,102.930000,104.209999,102.827133,564900
2019-02-05,105.839996,106.379997,105.599998,106.269997,104.859795,709500
2019-02-06,106.080002,106.169998,105.220001,105.269997,103.873070,349900
2019-02-07,103.889999,104.190002,102.900002,103.459999,102.087090,659600
2019-02-08,103.910004,104.440002,103.529999,104.029999,102.649529,724500
2019-02-11,104.300003,104.519997,103.690002,104.089996,102.708725,636500
2019-02-12,104.529999,105.050003,104.279999,104.629997,103.241562,794300
2019-02-13,105.320000,106.230003,105.239998,105.260002,103.863205,385100
2019-02-14,105.690002,106.290001,105.260002,105.940002,104.534180,494900
2019-02-15,106.750000,106.849998,105.849998,106.820000,105.402504,328800
2019-02-19,106.059998,106.970001,106.059998,106.739998,105.323563,292700
2019-02-20,106.580002,107.360001,106.580002,106.860001,105.441971,730400
2019-02-21,107.199997,107.580002,106.809998,106.980003,105.560387,298400
2019-02-22,108.080002,108.480003,107.940002,108.320000,106.882599,337100
2019-02-25,107.720001,108.070000,107.239998,107.330002,105.905739,408200
2019-02-26,106.540001,107.629997,106.480003,107.570000,106.142548,327300
2019-02-27,106.709999,107.080002,106.239998,107.010002,105.589981,471400
2019-02-28,107.040001,107.320000,106.730003,107.129997,105.708389,543300
2019-03-01,108.000000,108.580002,107.720001,108.379997,106.941795,473400
2019-03-04,108.000000,108.040001,106.610001,107.320000,105.895866,404200
2019-03-05,107.620003,108.260002,107.309998,107.970001,106.537247,269400
2019-03-06,108.260002,108.279999,107.449997,107.589996,106.162285,270100
2019-03-07,107.430000,107.470001,106.110001,106.349998,104.938736,306400
2019-03-08,106.769997,108.050003,106.690002,107.970001,106.537247,537200
2019-03-11,106.660004,107.919998,106.660004,107.720001,106.290558,476000
2019-03-12,107.360001,108.260002,107.269997,108.010002,106.576714,410300
2019-03-13,108.519997,109.290001,108.470001,108.860001,107.415436,472400
2019-03-14,109.330002,109.739998,108.910004,109.519997,108.066673,394200
2019-03-15,111.639999,112.769997,111.620003,112.489998,110.997261,769100
2019-03-18,111.989998,112.339996,111.529999,112.139999,110.651909,429600
2019-03-19,113.330002,113.739998,112.980003,113.440002,111.934654,506100
2019-03-20,113.790001,114.910004,113.389999,114.529999,113.010193,679600
2019-03-21,113.309998,114.500000,113.239998,114.430000,112.911522,385000
2019-03-22,112.669998,113.110001,111.089996,111.720001,110.237480,780000
2019-03-25,111.410004,111.919998,111.059998,111.599998,110.119072,437200
2019-03-26,113.070000,113.970001,112.870003,113.930000,112.418152,1123000
2019-03-27,113.690002,114.010002,112.650002,113.559998,112.053062,1172700
2019-03-28,114.320000,114.589996,113.580002,114.209999,112.694435,1867900
2019-03-29,116.080002,116.150002,115.120003,115.459999,113.927849,1325700
